Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t46	73518989000000065e-22	-27699999999938765e-25	-18946397999999985e-22	-7380867899999995e-21	2544879999999724e-23	-7837499999997704e-24	-5683267899999993e-21	-6750479999999601e-23	-32705160999999935e-22	-586090029999999e-20	12564102000000026e-22	21782451999999985e-22	-7981999999943776e-25	1491000000008758e-25
Cr6_Obs_t47	7641862700000006e-21	-28816999999988445e-25	-19695874999999963e-22	-7673563899999992e-21	27965500000006128e-24	-864789999998975e-23	-58756723999999985e-22	-702361999999981e-22	-33992990999999936e-22	-6094835499999988e-21	13090692000000042e-22	2264965600000005e-21	-828099999994843e-24	15500000000745495e-26
Cr6_Obs_t48	7943127699999997e-21	-2994399999994734e-24	-20475140999999985e-22	-79778655e-13	3067709999999992e-23	-9513200000000951e-24	-60744119999999984e-22	-7307929999999668e-23	-3533314400000002e-21	-6338111200000003e-21	13639664999999958e-22	2355138099999996e-21	-8592999999979064e-25	1611000000020541e-25
Cr6_Obs_t49	8256201999999998e-21	-3108999999991164e-24	-2128541799999995e-21	-8294249500000001e-21	3359680000000108e-23	-1043729999999675e-23	-6279694899999998e-21	-7603869999999575e-23	-3672740399999997e-21	-6591113799999996e-21	14211770000000098e-22	2448903999999999e-21	-8915999999986077e-25	1675000000083294e-25
Cr6_Obs_t50	858159670000001e-20	-32275999999936327e-25	-2212795999999996e-21	-8623203499999997e-21	3673720000000874e-23	-11425699999990745e-24	-6491730999999999e-21	-7911939999999225e-23	-3817765999999993e-21	-68542381e-13	14807822000000052e-22	2546407700000012e-21	-9250999999951912e-25	17410000001109502e-26
Cr6_Obs_t51	8919827099999994e-21	-3351900000006191e-24	-23004055000000026e-22	-8965227200000009e-21	40110999999994846e-24	-1248360000001027e-23	-6710732400000006e-21	-8232640000000856e-23	-3968592500000006e-21	-7127889500000002e-21	15428702000000027e-22	26477985999999893e-22	-9598000000045982e-25	1809999999916555e-25
Cr6_Obs_t52	927141519999999e-20	-3483400000002515e-24	-23915036000000053e-22	-9320835400000008e-21	4373149999998859e-23	-13616400000011383e-24	-6936915100000013e-21	-8566500000001098e-23	-4125434300000009e-21	-7412486000000007e-21	16075353999999982e-22	2753231099999999e-21	-9959000000063782e-25	18809999998564697e-26
Cr6_Obs_t53	96368937e-13	-3622199999997791e-24	-24862273999999952e-22	-9690558800000006e-21	4761339999999458e-23	-1482889999999456e-23	-7170498900000004e-21	-8914040000000988e-23	-4288518099999997e-21	-77084592e-13	16748780999999928e-22	2862865099999997e-21	-1033300000002286e-24	1956999999962753e-25
Cr6_Obs_t54	10016808500000016e-21	-3767999999997285e-24	-2584719299999989e-21	-1007494659999999e-20	51772900000008084e-24	-1612639999998538e-23	-7411709299999991e-21	-9275829999998996e-23	-4458082399999994e-21	-8016255899999991e-21	1745004300000007e-21	29768656000000093e-22	-10720999999905669e-25	20340000000514872e-26
Cr6_Obs_t55	1041172250000001e-20	-3920099999987867e-24	-2687125999999996e-21	-10474567199999994e-21	5622840000001111e-23	-17513999999987513e-24	-766077619999999e-20	-9652449999999341e-23	-4634376099999995e-21	-8336338599999995e-21	18180255000000154e-22	30954036999999986e-22	-11123999999864065e-25	21149999999853252e-26
